ticker,market,price_rows,price_start,price_end,inst_rows,inst_start,inst_end,revenue_rows,fs_rows,backtest_ready
1101,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,104,568,True
1216,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,560,True
1301,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,492,True
1303,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,598,True
1717,tse,2110,2018-01-02,2026-09-09,2105,2018-01-02,2026-09-08,104,560,True
2207,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,104,416,True
2308,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,560,True
2317,tse,2110,2018-01-02,2026-09-09,2106,2018-01-02,2026-09-08,105,560,True
2330,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,611,True
2376,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,560,True
2379,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,564,True
2412,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,594,True
2454,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,560,True
2603,tse,2110,2018-01-02,2026-09-09,2106,2018-01-02,2026-09-08,105,653,True
2609,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,104,594,True
2616,tse,2110,2018-01-02,2026-09-09,2085,2018-01-02,2026-09-08,104,560,True
2881,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,552,True
2882,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,104,560,True
3008,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,602,True
3034,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,561,True
3042,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,105,547,True
3711,tse,2110,2018-01-02,2026-09-09,2038,2018-04-30,2026-09-08,100,542,True
4938,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,104,567,True
6182,otc,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,104,585,True
6415,tse,2110,2018-01-02,2026-09-09,2107,2018-01-02,2026-09-08,104,578,True
6446,tse,2110,2018-01-02,2026-09-09,2096,2018-01-02,2026-09-08,105,517,True
6505,tse,2110,2018-01-02,2026-09-09,2113,2018-01-02,2026-09-08,105,560,True
6643,otc,2110,2018-01-02,2026-09-09,1866,2018-01-24,2026-09-08,105,462,True
7768,tse,354,2025-04-01,2026-09-09,158,2025-04-22,2026-09-08,11,148,False
8046,tse,2110,2018-01-02,2026-09-09,2112,2018-01-02,2026-09-08,105,492,True
